"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
08/20/2019,15:00,3.06,3.21,3.00,3.16,16703065,0,16703065.00
08/21/2019,15:00,3.23,3.27,3.02,3.05,21524358,0,21524358.00
08/22/2019,15:00,3.06,3.09,3.01,3.02,12427830,0,12427830.00
08/23/2019,15:00,2.97,3.04,2.89,2.92,13649638,0,13649638.00
08/26/2019,15:00,2.95,2.95,2.83,2.90,14138291,0,14138291.00
08/27/2019,15:00,2.92,3.00,2.83,2.91,20416708,0,20416708.00
08/28/2019,15:00,2.90,2.92,2.83,2.84,10491777,0,10491777.00
08/29/2019,15:00,2.91,2.93,2.85,2.85,12377439,0,12377439.00
08/30/2019,15:00,2.90,2.91,2.84,2.86,8162524,0,8162524.00
09/03/2019,15:00,2.82,2.83,2.58,2.60,26902284,0,26902284.00
09/04/2019,15:00,2.70,2.75,2.64,2.75,15213978,0,15213978.00
09/05/2019,15:00,2.81,3.00,2.80,2.95,23269977,0,23269977.00
09/06/2019,15:00,2.99,3.00,2.87,2.98,14509344,0,14509344.00
09/09/2019,15:00,3.00,3.14,2.93,3.14,17386277,0,17386277.00
09/10/2019,15:00,3.13,3.33,3.07,3.32,20848752,0,20848752.00
09/11/2019,15:00,3.28,3.33,3.16,3.27,13619898,0,13619898.00
09/12/2019,15:00,3.24,3.27,3.10,3.19,10957834,0,10957834.00
09/13/2019,15:00,3.22,3.27,3.15,3.21,8371663,0,8371663.00
09/16/2019,15:00,3.17,3.21,3.09,3.12,12374938,0,12374938.00
09/17/2019,15:00,3.11,3.18,3.00,3.18,13011822,0,13011822.00
09/18/2019,15:00,3.21,3.21,3.03,3.08,12582923,0,12582923.00
09/19/2019,15:00,3.12,3.16,3.08,3.10,8838966,0,8838966.00
09/20/2019,15:00,3.14,3.16,3.02,3.04,12053844,0,12053844.00
09/23/2019,15:00,2.98,2.98,2.71,2.72,40587553,0,40587553.00
09/24/2019,15:00,2.22,2.24,1.97,2.17,122304157,0,122304157.00
09/25/2019,15:00,2.15,2.15,2.02,2.05,39271995,0,39271995.00
09/26/2019,15:00,2.05,2.06,1.90,1.96,52898703,0,52898703.00
09/27/2019,15:00,1.94,2.00,1.71,1.75,59980823,0,59980823.00
09/30/2019,15:00,1.72,1.73,1.53,1.56,58965484,0,58965484.00
10/01/2019,15:00,1.51,1.51,1.22,1.32,88303453,0,88303453.00
10/02/2019,15:00,1.19,1.65,1.19,1.59,99492149,0,99492149.00
10/03/2019,15:00,1.59,1.70,1.43,1.64,58718147,0,58718147.00
10/04/2019,15:00,1.60,1.69,1.56,1.62,25301661,0,25301661.00
10/07/2019,15:00,1.58,1.59,1.45,1.55,26931904,0,26931904.00
10/08/2019,15:00,1.73,1.80,1.66,1.70,47246745,0,47246745.00
10/09/2019,15:00,1.75,1.76,1.58,1.64,35977235,0,35977235.00
10/10/2019,15:00,1.64,1.64,1.50,1.53,34066323,0,34066323.00
10/11/2019,15:00,1.55,1.59,1.50,1.56,25706738,0,25706738.00
10/14/2019,15:00,1.56,1.57,1.52,1.53,12597397,0,12597397.00
10/15/2019,15:00,1.63,1.64,1.54,1.55,27705187,0,27705187.00
10/16/2019,15:00,1.46,1.52,1.40,1.46,40843013,0,40843013.00
10/17/2019,15:00,1.46,1.50,1.42,1.46,18386078,0,18386078.00
10/18/2019,15:00,1.45,1.55,1.44,1.52,21500327,0,21500327.00
10/21/2019,15:00,1.52,1.77,1.49,1.69,40265126,0,40265126.00
10/22/2019,15:00,1.70,1.77,1.52,1.58,39052416,0,39052416.00
10/23/2019,15:00,1.58,1.60,1.52,1.53,12847715,0,12847715.00
10/24/2019,15:00,1.57,1.60,1.53,1.54,21615931,0,21615931.00
10/25/2019,15:00,1.54,1.56,1.50,1.51,20583465,0,20583465.00
10/28/2019,15:00,1.43,1.50,1.38,1.48,32759838,0,32759838.00
10/29/2019,15:00,1.45,1.45,1.39,1.39,22390431,0,22390431.00
10/30/2019,15:00,1.42,1.45,1.36,1.43,20881217,0,20881217.00
10/31/2019,15:00,1.47,1.54,1.44,1.45,22415770,0,22415770.00
11/01/2019,15:00,1.49,1.55,1.49,1.52,18037448,0,18037448.00
11/04/2019,15:00,1.65,1.90,1.58,1.71,61267351,0,61267351.00
11/05/2019,15:00,1.88,2.38,1.80,2.34,184641152,0,184641152.00
11/06/2019,15:00,2.46,2.46,1.96,2.03,114179516,0,114179516.00
11/07/2019,15:00,2.11,2.20,2.05,2.07,39588769,0,39588769.00
11/08/2019,15:00,2.13,2.13,1.94,1.98,38420906,0,38420906.00
11/11/2019,15:00,1.90,1.96,1.78,1.86,34365566,0,34365566.00
11/12/2019,15:00,1.90,2.05,1.83,1.94,27818014,0,27818014.00
11/13/2019,15:00,1.90,1.99,1.85,1.90,25129674,0,25129674.00
11/14/2019,15:00,1.86,1.89,1.66,1.75,46805706,0,46805706.00
11/15/2019,15:00,1.75,1.84,1.66,1.80,32267866,0,32267866.00
11/18/2019,15:00,1.88,1.90,1.73,1.80,26550709,0,26550709.00
11/19/2019,15:00,1.78,1.89,1.78,1.83,26829617,0,26829617.00
11/20/2019,15:00,1.85,1.87,1.77,1.84,20771437,0,20771437.00
11/21/2019,15:00,1.87,2.04,1.82,1.98,41548257,0,41548257.00
11/22/2019,15:00,2.04,2.05,1.88,1.94,25210980,0,25210980.00
11/25/2019,15:00,1.99,2.12,1.96,2.05,36941204,0,36941204.00
11/26/2019,15:00,2.12,2.29,2.12,2.28,55683461,0,55683461.00
11/27/2019,15:00,2.32,2.50,2.28,2.46,77494322,0,77494322.00
